Squad,MP,Gls,Ast,PK,PKatt,CrdY,CrdR
Arsenal,38,53,38,6,6,49,5
Aston Villa,38,52,38,5,6,71,4
Brighton,38,39,24,6,9,49,6
Burnley,38,32,20,3,3,48,0
Chelsea,38,56,38,8,10,51,3
Crystal Palace,38,39,29,3,4,56,2
Everton,38,45,32,4,5,59,2
Fulham,38,26,18,3,6,67,3
Leeds United,38,60,45,4,4,61,1
Leicester City,38,64,45,10,12,61,0
Liverpool,38,65,43,6,6,40,0
Manchester City,38,82,55,5,9,46,2
Manchester Utd,38,70,51,10,11,64,1
Newcastle Utd,38,44,26,6,7,65,3
Sheffield Utd,38,19,13,3,4,73,3
Southampton,38,47,33,5,6,52,3
Tottenham,38,66,50,5,5,57,2
West Brom,38,33,20,4,4,51,4
West Ham,38,60,46,2,4,50,3
Wolves,38,34,21,4,4,55,1
